id,title,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,genres
8204,The Spiderwick Chronicles,90000000,164200000,95,7.1093,6.707,2896,2008-02-14,"Family, Adventure, Fantasy, Drama"
14,American Beauty,15000000,356296601,122,10.9627,7.999,13153,1999-09-15,Drama
18,The Fifth Element,90000000,263920180,126,19.8421,7.586,11891,1997-05-02,"Science Fiction, Action, Adventure"
19,Metropolis,5300000,1350322,148,5.4421,8.082,3133,1927-01-10,"Drama, Science Fiction"
22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,143,24.5336,7.831,22458,2003-07-09,"Adventure, Fantasy, Action"
24,Kill Bill: Vol. 1,30000000,180906076,111,14.3668,7.972,19117,2003-10-10,"Action, Crime"
122906,About Time,12000000,87100449,123,10.9438,7.907,9358,2013-09-04,"Drama, Romance, Fantasy"
27,9 Songs,1000000,1574623,70,18.6979,5.544,586,2004-07-16,"Drama, Music, Romance"
28,Apocalypse Now,31500000,150000000,147,13.9241,8.266,9195,1979-05-19,"Drama, War"
311324,The Great Wall,150000000,331957105,103,9.8073,6.034,5595,2016-12-16,"Action, Adventure, Fantasy"
376867,Moonlight,4000000,65046687,111,9.2217,7.357,7588,2016-10-21,Drama
8247,Jumper,85000000,222231186,88,6.8142,6.166,6293,2008-02-13,"Action, Adventure, Science Fiction"
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1066179747,151,20.3057,7.387,17347,2006-07-06,"Adventure, Fantasy, Action"
62,2001: A Space Odyssey,12000000,71923560,149,18.5888,8.0,12725,1968-04-02,"Science Fiction, Mystery, Adventure"
63,Twelve Monkeys,29000000,168841459,129,9.4151,7.6,9214,1995-12-29,"Science Fiction, Thriller, Mystery"
65,8 Mile,41000000,242875078,111,8.6504,7.147,7885,2002-11-08,"Drama, Music"
417859,Puss in Boots,130000000,554987477,90,9.296,6.609,4649,2011-10-27,"Action, Adventure, Animation, Comedy, Family"
68,Brazil,15000000,9953708,143,6.2775,7.657,3746,1985-02-20,"Comedy, Science Fiction"
70,Million Dollar Baby,30000000,216763646,132,6.7471,7.953,10436,2004-12-05,Drama
73,American History X,20000000,23900000,119,11.5249,8.327,12692,1998-07-01,Drama
74,War of the Worlds,132000000,603873119,117,11.8573,6.555,9308,2005-06-28,"Adventure, Thriller, Science Fiction"
696393,Cold Storage,10000000,4048606,99,15.2701,6.717,576,2026-01-22,"Horror, Science Fiction, Comedy"
75,Mars Attacks!,70000000,101371017,106,7.0021,6.427,5928,1996-12-13,"Comedy, Fantasy, Science Fiction"
77,Memento,9000000,40060108,113,21.9382,8.175,16428,2000-10-11,"Mystery, Thriller"
180299,The Raid 2,4500000,6566916,150,5.8314,7.615,2624,2014-03-27,"Action, Crime, Thriller"
426063,Nosferatu,50000000,181805645,133,16.6277,6.709,3785,2024-12-25,"Horror, Fantasy"
79,Hero,31000000,177394432,99,9.7049,7.507,2533,2002-12-19,"Drama, Adventure, Action, History"
87,Indiana Jones and the Temple of Doom,28000000,333000000,118,11.5206,7.311,10207,1984-05-23,"Adventure, Action"
89,Indiana Jones and the Last Crusade,48000000,474171806,127,11.7049,7.854,11170,1989-05-24,"Adventure, Action"
90,Beverly Hills Cop,14000000,316360478,105,7.5097,7.21,4644,1984-12-05,"Comedy, Crime, Action"
95,Armageddon,140000000,553799566,151,11.2808,6.833,8672,1998-07-01,"Action, Science Fiction, Adventure"
98,Gladiator,103000000,465516248,155,27.5663,8.229,21110,2000-05-04,"Action, Drama, Adventure"
101,Léon: The Professional,16000000,20330788,111,19.772,8.294,16248,1994-09-14,"Crime, Drama, Action"
1368166,The Housemaid,35000000,399644671,131,49.9175,7.273,2678,2025-12-18,"Mystery, Thriller"
103,Taxi Driver,1900000,28579636,114,13.6434,8.124,13561,1976-02-09,"Crime, Drama"
974950,Emilia Pérez,26000000,16317120,132,8.7957,6.45,1993,2024-08-21,"Drama, Thriller"
105,Back to the Future,19000000,381109762,116,24.5096,8.327,22017,1985-07-03,"Adventure, Comedy, Science Fiction"
106,Predator,15000000,98267558,107,20.3567,7.573,9287,1987-06-12,"Science Fiction, Action, Adventure, Thriller"
335977,Indiana Jones and the Dial of Destiny,294700000,383963057,155,10.6767,6.511,4233,2023-06-25,"Adventure, Action"
107,Snatch,100000000,83557872,103,10.476,7.827,10079,2000-09-01,"Crime, Comedy"
111,Scarface,25000000,66023329,170,20.6864,8.155,13193,1983-12-09,"Action, Crime, Drama"
335984,Blade Runner 2049,150000000,259239658,164,23.682,7.598,15334,2017-10-04,"Science Fiction, Drama"
335983,Venom,116000000,856085151,112,12.179,6.825,17356,2018-09-28,"Science Fiction, Action"
950387,A Minecraft Movie,150000000,960387780,101,29.7336,6.255,3127,2025-03-31,"Family, Fantasy, Comedy, Adventure"
117,The Untouchables,25000000,76270454,119,7.3528,7.758,6228,1987-06-03,"Crime, History, Thriller"
118,Charlie and the Chocolate Factory,150000000,475000000,115,14.6826,7.038,16220,2005-07-13,"Adventure, Comedy, Family, Fantasy"
1007734,Nobody 2,25000000,43285109,89,11.2591,6.917,1690,2025-08-13,"Action, Thriller, Comedy"
120,The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,179,35.7366,8.439,27893,2001-12-18,"Adventure, Fantasy, Action"
122,The Lord of the Rings: The Return of the King,94000000,1118888979,201,41.1725,8.502,26895,2003-12-17,"Adventure, Fantasy, Action"
128,Princess Mononoke,23500000,176506186,134,17.2595,8.322,9115,1997-07-12,"Adventure, Fantasy, Animation"
129,Spirited Away,19000000,274925095,125,32.5442,8.535,18571,2001-07-20,"Animation, Family, Fantasy"
245891,John Wick,20000000,86085191,101,12.0227,7.5,21019,2014-10-16,"Action, Thriller"
134,"O Brother, Where Art Thou?",26000000,71877090,107,7.7367,7.327,4650,2000-08-30,"Adventure, Comedy, Crime"
1007757,Swapped,7,7,102,68.1406,8.91,1983,2026-05-01,"Adventure, Animation, Family, Fantasy"
141,Donnie Darko,4500000,7500000,114,10.5821,7.762,13528,2001-01-19,"Fantasy, Drama, Mystery"
142,Brokeback Mountain,14000000,178043761,134,9.2349,7.786,7623,2005-10-22,"Drama, Romance"
458897,Charlie's Angels,48000000,73279888,118,7.5554,6.376,3171,2019-11-14,"Action, Adventure, Comedy"
524434,Eternals,200000000,402064899,156,12.719,6.8,9242,2021-11-03,"Science Fiction, Action, Adventure"
146,"Crouching Tiger, Hidden Dragon",17000000,213978518,120,7.8263,7.4,3617,2000-07-06,"Adventure, Drama, Action, Romance"
8337,They Live,4000000,13000000,93,7.4337,7.3,3526,1988-11-04,"Science Fiction, Action, Thriller"
149,Akira,5700000,49000000,124,11.7951,7.939,4851,1988-06-10,"Animation, Science Fiction, Action"
150,48 Hrs.,12000000,78868508,96,6.2558,6.685,1743,1982-12-07,"Crime, Action, Comedy"
1278101,Big World,7000000,109500000,131,4.9368,8.4,100,2024-12-27,"Drama, Family"
153,Lost in Translation,4000000,119723856,102,9.5303,7.38,8171,2003-09-18,"Drama, Comedy, Romance"
155,The Dark Knight,185000000,1004558444,152,47.9347,8.533,36151,2008-07-16,"Action, Crime, Thriller"
162,Edward Scissorhands,20000000,86024005,105,11.1576,7.72,13867,1990-12-07,"Fantasy, Drama, Romance"
8355,Ice Age: Dawn of the Dinosaurs,90000000,886686817,94,12.5124,6.773,8950,2009-06-26,"Animation, Comedy, Family, Adventure"
163,Ocean's Twelve,110000000,362744280,125,8.2506,6.566,7987,2004-12-09,"Thriller, Crime"
165,Back to the Future Part II,40000000,332000000,108,9.4383,7.786,14062,1989-11-22,"Adventure, Comedy, Science Fiction"
8358,Cast Away,90000000,429632142,143,11.7087,7.665,12367,2000-12-22,"Adventure, Drama"
8356,An Affair to Remember,2100000,3800000,111,7.5759,7.385,516,1957-07-11,"Drama, Romance"
168,Star Trek IV: The Voyage Home,21000000,133000000,118,7.4542,7.179,1672,1986-11-26,"Science Fiction, Adventure"
169,Predator 2,35000000,57120318,108,10.1871,6.308,3891,1990-11-21,"Science Fiction, Action, Thriller"
1245347,Twinless,2000000,1400477,100,6.467,7.2,164,2025-09-04,"Comedy, Drama"
8363,Superbad,20000000,170800000,113,14.4488,7.269,8180,2007-08-17,Comedy
164,Breakfast at Tiffany's,2500000,9500000,115,6.2845,7.621,4513,1961-10-06,"Comedy, Romance, Drama"
8367,Robin Hood: Prince of Thieves,48000000,390493908,143,7.0234,6.856,3627,1991-06-14,"Action, Adventure, Drama"
254128,San Andreas,110000000,473990832,114,12.9247,6.248,9092,2015-05-27,"Action, Drama, Thriller"
176,Saw,1200000,104045735,103,12.0663,7.424,10170,2004-10-01,"Horror, Mystery, Crime"
180,Minority Report,102000000,358372926,145,8.0883,7.356,9730,2002-06-20,"Science Fiction, Action, Thriller"
185,A Clockwork Orange,2200000,27033812,137,11.3242,8.175,13931,1971-10-28,"Science Fiction, Crime"
696506,Mickey 17,118000000,133542263,137,16.7945,6.837,3699,2025-02-28,"Science Fiction, Comedy, Adventure"
187,Sin City,40000000,158733820,124,6.8953,7.465,8920,2005-04-01,"Crime, Thriller"
189,Sin City: A Dame to Kill For,65000000,39407616,102,8.1354,6.404,4202,2014-08-20,"Action, Crime, Thriller"
194,Amélie,10000000,173921954,122,12.7263,7.919,12489,2001-04-25,"Comedy, Romance"
41154,Men in Black 3,225000000,654213485,106,7.128,6.546,11065,2012-05-23,"Action, Comedy, Science Fiction"
196,Back to the Future Part III,40000000,244527583,119,7.6769,7.5,11631,1990-05-25,"Adventure, Comedy, Science Fiction"
199,Star Trek: First Contact,46000000,146027888,111,7.917,7.301,1977,1996-11-22,"Science Fiction, Action, Adventure, Thriller"
8392,My Neighbor Totoro,3700000,41000000,86,14.9148,8.064,8921,1988-04-16,"Fantasy, Animation, Family"
200,Star Trek: Insurrection,70000000,112587658,103,6.799,6.447,1366,1998-12-11,"Science Fiction, Action, Adventure, Thriller"
201,Star Trek: Nemesis,60000000,67336470,116,6.7829,6.299,1607,2002-12-13,"Science Fiction, Action, Adventure, Thriller"
8393,The Gods Must Be Crazy,5000000,200000000,109,6.3406,7.27,1333,1980-09-10,"Action, Comedy"
207,Dead Poets Society,16400000,235860116,129,17.4092,8.3,12733,1989-06-02,Drama
1155281,Creation of the Gods II: Demon Force,120000000,172619925,145,6.6667,6.5,134,2025-01-29,"Action, Fantasy, War"
214,Saw III,10000000,164874275,108,9.1741,6.42,5001,2006-10-26,"Horror, Thriller, Crime"
215,Saw II,4000000,152925093,93,12.0269,6.608,5949,2005-10-28,Horror
217,Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,122,10.1258,6.028,9104,2008-05-21,"Adventure, Action"
218,The Terminator,6400000,78371200,108,18.1818,7.685,14790,1984-10-26,"Action, Thriller, Science Fiction"
8413,Event Horizon,60000000,26700000,96,9.0641,6.6,3350,1997-08-15,"Horror, Science Fiction, Mystery"
227,The Outsiders,10000000,33697647,91,6.62,7.18,1573,1983-03-25,"Crime, Drama"
235,Stand by Me,8000000,52289686,89,9.4912,7.835,6602,1986-08-08,"Crime, Drama"
238,The Godfather,6000000,245066411,175,38.2677,8.687,23197,1972-03-14,"Drama, Crime"
239,Some Like It Hot,2900000,25000000,123,7.2806,8.076,3925,1959-03-19,"Comedy, Romance, Crime"
240,The Godfather Part II,13000000,102600000,202,27.8225,8.572,14072,1974-12-20,"Drama, Crime"
242,The Godfather Part III,54000000,136766062,162,12.1457,7.421,6937,1990-12-25,"Crime, Drama, Thriller"
251,Ghost,22000000,505000000,127,9.4355,7.239,6093,1990-07-13,"Fantasy, Romance, Thriller"
252,Willy Wonka & the Chocolate Factory,3000000,4000000,100,7.6196,7.5,3988,1971-06-29,"Family, Fantasy, Comedy"
